entitySlug,entityName,manualPriority,currentStatus,qualityTier,currentSourceProvider,currentSourceUrl,suggestedOverrideDomain,suggestedOverridePath,manualOverrideDomain,manualOverridePath,manualNotes,approvedForNextMigration
"jetour","Jetour","alta","approved","needs_review","html_metadata:link_icon","https://jetourglobal.com/favicon.ico","","","jetourchile.cl","","Domain provided by user via chat","true"
"mac","MAC","alta","approved","weak","logodev","https://img.logo.dev/maccosmetics.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","maccosmetics.cl","","Domain provided by user via chat","true"
"falabella","Falabella","alta","approved","weak","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","","","falabella.com","","Applied known domain correction","true"
"mercado-libre","Mercado Libre","alta","approved","needs_review","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/5.21.22/mercadolibre/favicon.svg","","","mercadolibre.cl","","Domain provided by user via chat","true"
"chilemat","Chilemat","alta","approved","needs_review","html_metadata:link_icon","https://chilemat.cl/favicon.png?v=4","","","chilemat.cl","","Domain provided by user via chat","true"
"construmart","Construmart","alta","approved","needs_review","html_metadata:link_icon","https://www.construmart.cl/media/favicon/stores/1/FAVICON1.png","","","construmart.cl","","Domain provided by user via chat","true"
"sodimac","Sodimac","alta","approved","weak","html_metadata:link_icon","https://images.sodimac.com/v3/assets/blt6a203fe6c6a9b6dd/blta6bf10a4c1cac4da/Sodimac48.png","","","sodimac.cl","","Domain provided by user via chat","true"
"santa-isabel","Santa Isabel","alta","approved","needs_review","html_metadata:link_icon","https://assets.santaisabel.cl/favicon/apple-touch-icon-60x60.png","","","santaisabel.cl","","Domain provided by user via chat","true"
"acuenta","aCuenta","alta","approved","needs_review","html_metadata","https://acuenta.cl/favicon.ico","","","acuenta.cl","","Domain provided by user via chat","true"
"maconline","MacOnline","alta","approved","needs_review","html_metadata:link_icon","https://d1aqw5mz0wngqe.cloudfront.net/assets/favicon-6249859042a670132b4fef4175e528f07954ece5da2fa5100ba2bc84b002c4eb.ico","","","maconline.com","","Domain provided by user via chat","true"
"nintendo","Nintendo","alta","approved","weak","logodev","https://img.logo.dev/nintendo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","nintendo.com","","Domain provided by user via chat","true"
"xbox","Xbox","alta","approved","needs_review","html_metadata:link_icon","https://www.xbox.com/favicon-180.png","","","xbox.com","","Domain provided by user via chat","true"
"hisense","Hisense","alta","approved","needs_review","html_metadata:link_icon","https://hisense.cl/wp-content/uploads/2023/05/favicon.png","","","hisense.cl","","Domain provided by user via chat","true"
"tvn-play","TVN Play","alta","approved","needs_review","html_metadata:link_icon","https://ott-assets.mdstrm.com/51c2f628b440bd797900051f/632c774f22c111217fa59905/assets/favicon.png","","","tvnplay.cl","","Domain provided by user via chat","true"
"directv","DIRECTV","alta","approved","weak","logodev","https://img.logo.dev/directtv.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","directvgo.com","","Domain provided by user via chat","true"
"tuves","TuVes","alta","approved","weak","logodev","https://img.logo.dev/tuves.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","tuves.cl","","Domain provided by user via chat","true"
"cabify","Cabify","alta","approved","weak","html_metadata:link_icon","https://cabify.website/static/head/apple-icon-180x180.png","","","cabify.com","","Domain provided by user via chat","true"
