entitySlug,entityName,domain,currentStatus,qualityTier,currentSourceProvider,currentSourceUrl,manualOverridePath,manualOverrideDomain,manualNotes,approvedForNextMigration,manualPriority
"jetour","Jetour","","approved","needs_review","html_metadata:link_icon","https://jetourglobal.com/favicon.ico","","jetourchile.cl","Domain provided by user via chat","","alta"
"escudo","Escudo","","approved","weak","logodev","https://img.logo.dev/escudoconsultoria.com.br?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"montes","Montes","","approved","needs_review","html_metadata:link_icon","https://monteswines.com/favicon.ico","","","","","media"
"babysec","Babysec","","approved","needs_review","html_metadata:link_icon","https://www.babysec.cl/assets/dist/frontend/images/favicon/android-icon-192x192.png","","","","","media"
"mac","MAC","","approved","weak","logodev","https://img.logo.dev/maccosmetics.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","maccosmetics.cl","Domain provided by user via chat","","alta"
"eucerin-sun","Eucerin Sun","","approved","needs_review","html_metadata:link_icon","https://images-1.eucerin.com/~/media/eucerin%20reference%20site/eucerin_favicon.ico","","","","","media"
"elvive","Elvive","","approved","weak","logodev","https://img.logo.dev/loreal-paris.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"justo","Justo","","approved","weak","logodev","https://img.logo.dev/justo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"juan-maestro","Juan Maestro","","approved","needs_review","html_metadata:link_icon","https://tofuu.getjusto.com/orioneat-prod/88orTfZAbxKc7zucD-favicon%20JM.png","","","","","media"
"pedro-juan-diego","Pedro, Juan & Diego","","approved","needs_review","html_metadata:link_icon","https://www.dominios.cl/images/apple-touch-icon.png","","","","","media"
"little-caesars","Little Caesars","","approved","weak","logodev","https://img.logo.dev/littlecaesars.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"filadd","Filadd","","approved","weak","html_metadata:link_icon","https://cdn.prod.website-files.com/63727ff21746368de5893d07/65e71a64fa2d50464e50f762_Asset%202.png","","","","","media"
"uai","UAI","","approved","weak","logodev","https://img.logo.dev/uai.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"universidad-de-concepcion","Universidad de Concepción","","approved","needs_review","html_metadata","https://udec.cl/favicon.ico","","","","","media"
"muvix","Muvix","","approved","needs_review","html_metadata:link_icon","https://muvix.cl/IT-CDN/Themes/_default/Images/favicon/android-icon-192x192.png","","","","","media"
"carolina","Carolina","","approved","weak","logodev","https://img.logo.dev/radiocarolina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"universal","Universal+","","approved","needs_review","html_metadata","https://universalplus.com/apple-touch-icon.png","","","","","media"
"la-red","La Red","","approved","needs_review","html_metadata:link_icon","https://www.lared.cl/wp-content/themes/lared2021/img/favicon/apple-touch-icon.png","","","","","media"
"mercado-pago","Mercado Pago","","approved","needs_review","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/7.2.2/mercadopago/favicon.svg","","","","","media"
"tapp","Tapp","","approved","needs_review","html_metadata:link_icon","https://cla.cdn.modyo.com/uploads/30174f3a-dcff-4133-bdf3-8219a20febe7/C32x32/tapp-favicon-32.ico","","","","","media"
"redcompra","Redcompra","","approved","weak","logodev","https://img.logo.dev/redcompra.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"dyson","Dyson","","approved","weak","logodev","https://img.logo.dev/dyson.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"cat-chow","Cat Chow","","approved","weak","logodev","https://img.logo.dev/purina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"royal-canin","Royal Canin","","approved","needs_review","html_metadata:link_icon","https://www.royalcanin.com/favicon.ico","","","","","media"
"superzoo","SuperZoo","","approved","needs_review","html_metadata","https://superzoo.cl/favicon.ico","","","","","media"
"saxoline","Saxoline","","approved","needs_review","html_metadata:link_icon","https://saxoline.cl/favicon.ico","","","","","media"
"sparta","Sparta","","approved","needs_review","html_metadata:link_icon","https://sparta.cl/media/favicon/stores/1/logo_sparta_cuadrado_2_1_.png","","","","","media"
"forever-21","Forever 21","","approved","needs_review","html_metadata:link_icon","https://www.forever21.com/cdn/shop/files/favicon_-_f21.jpg?v=1745868953&width=96","","","","","media"
"h-m","H&M","","approved","needs_review","html_metadata","https://cl.hm.com/favicon.ico","","","","","media"
"family-shop","Family Shop","","approved","weak","html_metadata:link_icon","https://cdnx.jumpseller.com/familyshop/image/61821098/resize/180/180?1743079886","","","","","media"
"sybilla","Sybilla","","approved","weak","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","","falabella.com","Applied known domain correction","true","media"
"falabella","Falabella","","approved","weak","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","","falabella.com","Applied known domain correction","","alta"
"mercado-libre","Mercado Libre","","approved","needs_review","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/5.21.22/mercadolibre/favicon.svg","","mercadolibre.cl","Domain provided by user via chat","","alta"
"chilemat","Chilemat","","approved","needs_review","html_metadata:link_icon","https://chilemat.cl/favicon.png?v=4","","chilemat.cl","Domain provided by user via chat","","alta"
"construmart","Construmart","","approved","needs_review","html_metadata:link_icon","https://www.construmart.cl/media/favicon/stores/1/FAVICON1.png","","construmart.cl","Domain provided by user via chat","","alta"
"sodimac","Sodimac","","approved","weak","html_metadata:link_icon","https://images.sodimac.com/v3/assets/blt6a203fe6c6a9b6dd/blta6bf10a4c1cac4da/Sodimac48.png","","sodimac.cl","Domain provided by user via chat","","alta"
"santa-isabel","Santa Isabel","","approved","needs_review","html_metadata:link_icon","https://assets.santaisabel.cl/favicon/apple-touch-icon-60x60.png","","santaisabel.cl","Domain provided by user via chat","","alta"
"acuenta","aCuenta","","approved","needs_review","html_metadata","https://acuenta.cl/favicon.ico","","acuenta.cl","Domain provided by user via chat","","alta"
"maconline","MacOnline","","approved","needs_review","html_metadata:link_icon","https://d1aqw5mz0wngqe.cloudfront.net/assets/favicon-6249859042a670132b4fef4175e528f07954ece5da2fa5100ba2bc84b002c4eb.ico","","maconline.com","Domain provided by user via chat","","alta"
"fraccion","Fracción","","approved","weak","logodev","https://img.logo.dev/farmaciafraccion.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","","","media"
"colmena","Colmena","","approved","needs_review","html_metadata:link_icon","https://www.colmena.cl/source/wp-content/themes/colmena/assets/favicon/android-icon-192x192.png","","","","","media"
"nintendo","Nintendo","","approved","weak","logodev","https://img.logo.dev/nintendo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","nintendo.com","Domain provided by user via chat","","alta"
