Marca,Slug,Categoria,Subcategoria,Dominio Web (LLENAR AQUI),Tiene Logo?
Logitech,logitech,Gaming,Periféricos gamer,https://www.logitech.com,NO
Mad Catz,mad-catz,Gaming,Periféricos gamer,https://www.madcatz.com,NO
Glorious PC Gaming Race,glorious,Gaming,Periféricos gamer,https://www.gloriousgaming.com,NO
Cooler Master,cooler-master,Gaming,Periféricos gamer,https://www.coolermaster.com,NO
Thermaltake,thermaltake,Gaming,Periféricos gamer,https://www.thermaltake.com,NO
Turtle Beach,turtle-beach,Gaming,Periféricos gamer,https://www.turtlebeach.com,NO
Astro Gaming,astro-gaming,Gaming,Periféricos gamer,https://www.astrogaming.com,NO
Scuf Gaming,scuf-gaming,Gaming,Periféricos gamer,https://scufgaming.com,NO
PowerA,powera,Gaming,Periféricos gamer,https://www.powera.com,NO
8BitDo,8bitdo,Gaming,Periféricos gamer,https://www.8bitdo.com,NO
Thrustmaster,thrustmaster,Gaming,Periféricos gamer,https://www.thrustmaster.com,NO
Fanatec,fanatec,Gaming,Periféricos gamer,https://fanatec.com,NO
Hori,hori,Gaming,Periféricos gamer,https://hori.co.jp,NO
GameSir,gamesir,Gaming,Periféricos gamer,https://www.gamesir.hk,NO
Nacon,nacon,Gaming,Periféricos gamer,https://www.nacongaming.com,NO
Hulu,hulu,Entretenimiento,Video,https://www.hulu.com,NO
Crunchyroll,crunchyroll,Entretenimiento,Video,https://www.crunchyroll.com,NO
Rakuten TV,rakuten-tv,Entretenimiento,Video,https://rakuten.tv,NO
Pluto TV,pluto-tv,Entretenimiento,Video,https://pluto.tv,NO
Tubi,tubi,Entretenimiento,Video,https://tubitv.com,NO
Peacock,peacock,Entretenimiento,Video,https://www.peacocktv.com,NO
Discovery+,discovery-plus,Entretenimiento,Video,https://www.discoveryplus.com,NO
BBC iPlayer,bbc-iplayer,Entretenimiento,Video,https://www.bbc.co.uk/iplayer,NO
DAZN,dazn,Entretenimiento,Video,https://www.dazn.com,NO
Shudder,shudder,Entretenimiento,Video,https://www.shudder.com,NO
Viki,viki,Entretenimiento,Video,https://www.viki.com,NO
Curiosity Stream,curiosity-stream,Entretenimiento,Video,https://curiositystream.com,NO
Nebula,nebula,Entretenimiento,Video,https://nebula.tv,NO
Acorn TV,acorn-tv,Entretenimiento,Video,https://acorn.tv,NO
BritBox,britbox,Entretenimiento,Video,https://www.britbox.com,NO
SoundCloud,soundcloud,Entretenimiento,Música,https://soundcloud.com,NO
Pandora,pandora-music,Entretenimiento,Música,https://www.pandora.com,NO
iHeartRadio,iheartradio,Entretenimiento,Música,https://www.iheart.com,NO
TuneIn,tunein,Entretenimiento,Música,https://tunein.com,NO
Audiomack,audiomack,Entretenimiento,Música,https://audiomack.com,NO
Bandcamp,bandcamp,Entretenimiento,Música,https://bandcamp.com,NO
Anghami,anghami,Entretenimiento,Música,https://www.anghami.com,NO
Qobuz,qobuz,Entretenimiento,Música,https://www.qobuz.com,NO
Napster,napster,Entretenimiento,Música,https://www.napster.com,NO
JioSaavn,jiosaavn,Entretenimiento,Música,https://www.jiosaavn.com,NO
KKBOX,kkbox,Entretenimiento,Música,https://www.kkbox.com,NO
Melon,melon,Entretenimiento,Música,https://www.melon.com,NO
Boomplay,boomplay,Entretenimiento,Música,https://www.boomplay.com,NO
Yandex Music,yandex-music,Entretenimiento,Música,https://music.yandex.com,NO
Gaana,gaana,Entretenimiento,Música,https://gaana.com,NO
eBay,ebay,Retail,Marketplaces,https://www.ebay.com,NO
Etsy,etsy,Retail,Marketplaces,https://www.etsy.com,NO
Rakuten,rakuten,Retail,Marketplaces,https://www.rakuten.com,NO
Shopee,shopee,Retail,Marketplaces,https://shopee.com,NO
Lazada,lazada,Retail,Marketplaces,https://www.lazada.com,NO
Flipkart,flipkart,Retail,Marketplaces,https://www.flipkart.com,NO
JD.com,jd-com,Retail,Marketplaces,https://www.jd.com,NO
Taobao,taobao,Retail,Marketplaces,https://world.taobao.com,NO
Temu,temu,Retail,Marketplaces,https://www.temu.com,NO
Wish,wish,Retail,Marketplaces,https://www.wish.com,NO
Allegro,allegro,Retail,Marketplaces,https://allegro.pl,NO
Mercari,mercari,Retail,Marketplaces,https://www.mercari.com,NO
Otto,otto,Retail,Marketplaces,https://www.otto.de,NO
Zalando,zalando,Retail,Marketplaces,https://www.zalando.com,NO
Wayfair,wayfair,Retail,Marketplaces,https://www.wayfair.com,NO
Uniqlo,uniqlo,Moda,Fast fashion,https://www.uniqlo.com,NO
COS,cos,Moda,Fast fashion,https://www.cos.com,NO
Massimo Dutti,massimo-dutti,Moda,Fast fashion,https://www.massimodutti.com,NO
Oysho,oysho,Moda,Fast fashion,https://www.oysho.com,NO
Bershka Kids,bershka-kids,Moda,Fast fashion,https://www.bershka.com,NO
Reserved,reserved,Moda,Fast fashion,https://www.reserved.com,NO
C&A,ca,Moda,Fast fashion,https://www.c-and-a.com,NO
