slug,nombre,statusActual,qualityTier,manualPriority,sourceProvider,sourceUrl,requiereDominioOArchivoLocal
"jetour","Jetour","approved","needs_review","alta","html_metadata:link_icon","https://jetourglobal.com/favicon.ico","true"
"mac","MAC","approved","weak","alta","logodev","https://img.logo.dev/maccosmetics.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"falabella","Falabella","approved","weak","alta","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","true"
"mercado-libre","Mercado Libre","approved","needs_review","alta","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/5.21.22/mercadolibre/favicon.svg","true"
"chilemat","Chilemat","approved","needs_review","alta","html_metadata:link_icon","https://chilemat.cl/favicon.png?v=4","true"
"construmart","Construmart","approved","needs_review","alta","html_metadata:link_icon","https://www.construmart.cl/media/favicon/stores/1/FAVICON1.png","true"
"sodimac","Sodimac","approved","weak","alta","html_metadata:link_icon","https://images.sodimac.com/v3/assets/blt6a203fe6c6a9b6dd/blta6bf10a4c1cac4da/Sodimac48.png","true"
"santa-isabel","Santa Isabel","approved","needs_review","alta","html_metadata:link_icon","https://assets.santaisabel.cl/favicon/apple-touch-icon-60x60.png","true"
"acuenta","aCuenta","approved","needs_review","alta","html_metadata","https://acuenta.cl/favicon.ico","true"
"maconline","MacOnline","approved","needs_review","alta","html_metadata:link_icon","https://d1aqw5mz0wngqe.cloudfront.net/assets/favicon-6249859042a670132b4fef4175e528f07954ece5da2fa5100ba2bc84b002c4eb.ico","true"
"nintendo","Nintendo","approved","weak","alta","logodev","https://img.logo.dev/nintendo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"xbox","Xbox","approved","needs_review","alta","html_metadata:link_icon","https://www.xbox.com/favicon-180.png","true"
"hisense","Hisense","approved","needs_review","alta","html_metadata:link_icon","https://hisense.cl/wp-content/uploads/2023/05/favicon.png","true"
"tvn-play","TVN Play","approved","needs_review","alta","html_metadata:link_icon","https://ott-assets.mdstrm.com/51c2f628b440bd797900051f/632c774f22c111217fa59905/assets/favicon.png","true"
"directv","DIRECTV","approved","weak","alta","logodev","https://img.logo.dev/directtv.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"tuves","TuVes","approved","weak","alta","logodev","https://img.logo.dev/tuves.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"cabify","Cabify","approved","weak","alta","html_metadata:link_icon","https://cabify.website/static/head/apple-icon-180x180.png","true"
"escudo","Escudo","approved","weak","media","logodev","https://img.logo.dev/escudoconsultoria.com.br?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","true"
"montes","Montes","approved","needs_review","media","html_metadata:link_icon","https://monteswines.com/favicon.ico","true"
"babysec","Babysec","approved","needs_review","media","html_metadata:link_icon","https://www.babysec.cl/assets/dist/frontend/images/favicon/android-icon-192x192.png","true"
"eucerin-sun","Eucerin Sun","approved","needs_review","media","html_metadata:link_icon","https://images-1.eucerin.com/~/media/eucerin%20reference%20site/eucerin_favicon.ico","true"
